# vi: ts=30 sw=30
i2006	Motor 20 Position Following Enable and Mode	Motor Definition I-Variables
i2106	Motor 21 Position Following Enable and Mode	Motor Definition I-Variables
i2206	Motor 22 Position Following Enable and Mode	Motor Definition I-Variables
i2306	Motor 23 Position Following Enable and Mode	Motor Definition I-Variables
i2406	Motor 24 Position Following Enable and Mode	Motor Definition I-Variables
i2506	Motor 25 Position Following Enable and Mode	Motor Definition I-Variables
i2606	Motor 26 Position Following Enable and Mode	Motor Definition I-Variables
i2706	Motor 27 Position Following Enable and Mode	Motor Definition I-Variables
i2806	Motor 28 Position Following Enable and Mode	Motor Definition I-Variables
i2906	Motor 29 Position Following Enable and Mode	Motor Definition I-Variables
i3006	Motor 30 Position Following Enable and Mode	Motor Definition I-Variables
i3106	Motor 31 Position Following Enable and Mode	Motor Definition I-Variables
i3206	Motor 32 Position Following Enable and Mode	Motor Definition I-Variables
i107	Motor 1 Master (Handwheel) Scale Factor	Motor Definition I-Variables
i207	Motor 2 Master (Handwheel) Scale Factor	Motor Definition I-Variables
i307	Motor 3 Master (Handwheel) Scale Factor	Motor Definition I-Variables
i407	Motor 4 Master (Handwheel) Scale Factor	Motor Definition I-Variables
i507	Motor 5 Master (Handwheel) Scale Factor	Motor Definition I-Variables
i607	Motor 6 Master (Handwheel) Scale Factor	Motor Definition I-Variables
i707	Motor 7 Master (Handwheel) Scale Factor	Motor Definition I-Variables
i807	Motor 8 Master (Handwheel) Scale Factor	Motor Definition I-Variables
i907	Motor 9 Master (Handwheel) Scale Factor	Motor Definition I-Variables
i1007	Motor 10 Master (Handwheel) Scale Factor	Motor Definition I-Variables
i1107	Motor 11 Master (Handwheel) Scale Factor	Motor Definition I-Variables
i1207	Motor 12 Master (Handwheel) Scale Factor	Motor Definition I-Variables
i1307	Motor 13 Master (Handwheel) Scale Factor	Motor Definition I-Variables
i1407	Motor 14 Master (Handwheel) Scale Factor	Motor Definition I-Variables
i1507	Motor 15 Master (Handwheel) Scale Factor	Motor Definition I-Variables
i1607	Motor 16 Master (Handwheel) Scale Factor	Motor Definition I-Variables
i1707	Motor 17 Master (Handwheel) Scale Factor	Motor Definition I-Variables
i1807	Motor 18 Master (Handwheel) Scale Factor	Motor Definition I-Variables
i1907	Motor 19 Master (Handwheel) Scale Factor	Motor Definition I-Variables
i2007	Motor 20 Master (Handwheel) Scale Factor	Motor Definition I-Variables
i2107	Motor 21 Master (Handwheel) Scale Factor	Motor Definition I-Variables
i2207	Motor 22 Master (Handwheel) Scale Factor	Motor Definition I-Variables
i2307	Motor 23 Master (Handwheel) Scale Factor	Motor Definition I-Variables
i2407	Motor 24 Master (Handwheel) Scale Factor	Motor Definition I-Variables
i2507	Motor 25 Master (Handwheel) Scale Factor	Motor Definition I-Variables
i2607	Motor 26 Master (Handwheel) Scale Factor	Motor Definition I-Variables
i2707	Motor 27 Master (Handwheel) Scale Factor	Motor Definition I-Variables
