# vi: ts=30 sw=30
i2800	Motor 28 Activation Control	Motor Definition I-Variables	81
i2900	Motor 29 Activation Control	Motor Definition I-Variables	81
i3000	Motor 30 Activation Control	Motor Definition I-Variables	81
i3100	Motor 31 Activation Control	Motor Definition I-Variables	81
i3200	Motor 32 Activation Control	Motor Definition I-Variables	81
i101	Motor 1 Commutation Enable	Motor Definition I-Variables	81
i201	Motor 2 Commutation Enable	Motor Definition I-Variables	81
i301	Motor 3 Commutation Enable	Motor Definition I-Variables	81
i401	Motor 4 Commutation Enable	Motor Definition I-Variables	81
i501	Motor 5 Commutation Enable	Motor Definition I-Variables	81
i601	Motor 6 Commutation Enable	Motor Definition I-Variables	81
i701	Motor 7 Commutation Enable	Motor Definition I-Variables	81
i801	Motor 8 Commutation Enable	Motor Definition I-Variables	81
i901	Motor 9 Commutation Enable	Motor Definition I-Variables	81
i1001	Motor 10 Commutation Enable	Motor Definition I-Variables	81
i1101	Motor 11 Commutation Enable	Motor Definition I-Variables	81
i1201	Motor 12 Commutation Enable	Motor Definition I-Variables	81
i1301	Motor 13 Commutation Enable	Motor Definition I-Variables	81
i1401	Motor 14 Commutation Enable	Motor Definition I-Variables	81
i1501	Motor 15 Commutation Enable	Motor Definition I-Variables	81
i1601	Motor 16 Commutation Enable	Motor Definition I-Variables	81
i1701	Motor 17 Commutation Enable	Motor Definition I-Variables	81
i1801	Motor 18 Commutation Enable	Motor Definition I-Variables	81
i1901	Motor 19 Commutation Enable	Motor Definition I-Variables	81
i2001	Motor 20 Commutation Enable	Motor Definition I-Variables	81
i2101	Motor 21 Commutation Enable	Motor Definition I-Variables	81
i2201	Motor 22 Commutation Enable	Motor Definition I-Variables	81
i2301	Motor 23 Commutation Enable	Motor Definition I-Variables	81
i2401	Motor 24 Commutation Enable	Motor Definition I-Variables	81
i2501	Motor 25 Commutation Enable	Motor Definition I-Variables	81
i2601	Motor 26 Commutation Enable	Motor Definition I-Variables	81
i2701	Motor 27 Commutation Enable	Motor Definition I-Variables	81
i2801	Motor 28 Commutation Enable	Motor Definition I-Variables	81
i2901	Motor 29 Commutation Enable	Motor Definition I-Variables	81
i3001	Motor 30 Commutation Enable	Motor Definition I-Variables	81
i3101	Motor 31 Commutation Enable	Motor Definition I-Variables	81
i3201	Motor 32 Commutation Enable	Motor Definition I-Variables	81
i102	Motor 1 Command Output Address	Motor Definition I-Variables	82
i202	Motor 2 Command Output Address	Motor Definition I-Variables	82
i302	Motor 3 Command Output Address	Motor Definition I-Variables	82
i402	Motor 4 Command Output Address	Motor Definition I-Variables	82
i502	Motor 5 Command Output Address	Motor Definition I-Variables	82
i602	Motor 6 Command Output Address	Motor Definition I-Variables	82
i702	Motor 7 Command Output Address	Motor Definition I-Variables	82
i802	Motor 8 Command Output Address	Motor Definition I-Variables	82
i902	Motor 9 Command Output Address	Motor Definition I-Variables	82
i1002	Motor 10 Command Output Address	Motor Definition I-Variables	82
i1102	Motor 11 Command Output Address	Motor Definition I-Variables	82
i1202	Motor 12 Command Output Address	Motor Definition I-Variables	82
i1302	Motor 13 Command Output Address	Motor Definition I-Variables	82
i1402	Motor 14 Command Output Address	Motor Definition I-Variables	82
i1502	Motor 15 Command Output Address	Motor Definition I-Variables	82
i1602	Motor 16 Command Output Address	Motor Definition I-Variables	82
i1702	Motor 17 Command Output Address	Motor Definition I-Variables	82
i1802	Motor 18 Command Output Address	Motor Definition I-Variables	82
i1902	Motor 19 Command Output Address	Motor Definition I-Variables	82
i2002	Motor 20 Command Output Address	Motor Definition I-Variables	82
i2102	Motor 21 Command Output Address	Motor Definition I-Variables	82
i2202	Motor 22 Command Output Address	Motor Definition I-Variables	82
i2302	Motor 23 Command Output Address	Motor Definition I-Variables	82
i2402	Motor 24 Command Output Address	Motor Definition I-Variables	82
i2502	Motor 25 Command Output Address	Motor Definition I-Variables	82
i2602	Motor 26 Command Output Address	Motor Definition I-Variables	82
i2702	Motor 27 Command Output Address	Motor Definition I-Variables	82
i2802	Motor 28 Command Output Address	Motor Definition I-Variables	82
i2902	Motor 29 Command Output Address	Motor Definition I-Variables	82
i3002	Motor 30 Command Output Address	Motor Definition I-Variables	82
i3102	Motor 31 Command Output Address	Motor Definition I-Variables	82
